"coeff_name","true","biais","re_biais","rmse"
"tau.s(ID).1",0.151,-0.147,-97.477,0.147
"tau.s(ID).2",-0.009,0.006,-62.902,0.006
"tau.s(ID).3",0.202,-0.202,-99.867,0.202
"tau.s(ID).4",-0.006,-0.002,24.637,0.002
"tau.s(ID).5",0.13,-0.131,-100.594,0.131
"tau.s(ID).6",0.229,-0.22,-96.086,0.22
"nu.s(ID).1",-0.139,0.11,-78.877,0.11
"nu.s(ID).2",-0.028,0.091,-327.468,0.091
"nu.s(ID).3",-0.013,-0.014,105.746,0.014
"nu.s(ID).4",0.064,0.061,96.483,0.061
"nu.s(ID).5",-0.028,0.052,-184.262,0.052
"nu.s(ID).6",-0.266,0.101,-38.128,0.101
"omega.te(theta,DistanceShore).1",8.914,0.448,5.026,0.448
"omega.te(theta,DistanceShore).2",-3.387,-0.56,16.544,0.56
"omega.te(theta,DistanceShore).3",5.744,-2.357,-41.041,2.357
"omega.te(theta,DistanceShore).4",19.075,-1.505,-7.891,1.505
"omega.te(theta,DistanceShore).5",5.719,-5.116,-89.456,5.116
"omega.te(theta,DistanceShore).6",25.778,2.259,8.764,2.259
"omega.te(theta,DistanceShore).7",2.692,-0.662,-24.581,0.662
"omega.te(theta,DistanceShore).8",6.844,-0.006,-0.083,0.006
"mu1.(Intercept)",0,0,NA,0
"mu2.(Intercept)",0,0,NA,0
"tau.(Intercept)",0,0.112,NA,0.112
"nu.(Intercept)",1.386,-0.043,-3.103,0.043
"omega.(Intercept)",0.007,-0.338,-4879.59,0.338
"tau.s(ID)",0.1,-0.061,-61.411,0.061
"nu.s(ID)",0.1,-0.003,-3.377,0.003
"omega.te(theta,DistanceShore)",NA,NA,NA,NA
