"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.294,0.292,0.016,0.572
"nu.(Intercept)",8.104,5.391,2.982,13.226
"tau.s(ID)",0.273,0.189,0.094,0.453
"nu.s(ID)",0.203,0.074,0.133,0.274
"sigma_obs",21.11,21.11,1.056,41.165
