"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.381,0.381,0.019,0.742
"nu.(Intercept)",31895820721711804416,31895820721711804416,1594791036085584640,6.2196850407338e+19
"tau.s(ID)",0.095,0.048,0.05,0.14
"nu.s(ID)",0.103,0.103,0.005,0.201
"sigma_obs",21.132,21.124,1.065,41.2
