"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0,0,0,0
"nu.(Intercept)",56837799039878.1,40699001018968,18173748071858.5,95501850007897.8
"tau.s(ID)",0.04,0.017,0.025,0.056
"nu.s(ID)",0.072,0.007,0.066,0.079
"sigma_obs",0,0,0,0
