"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.869,0.199,0.68,1.058
"nu.(Intercept)",3.348,0.608,2.771,3.925
"tau.s(ID)",0.278,0.07,0.212,0.345
"nu.s(ID)",0.157,0.092,0.069,0.245
"sigma_obs",41.716,0.507,41.235,42.197
