"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.165,0,0.165,0.165
"nu.(Intercept)",2.932,0,2.932,2.932
"tau.s(ID)",0.401,0,0.401,0.401
"nu.s(ID)",0.199,0,0.199,0.199
"sigma_obs",0,0,0,0
