"coeff_names","mean","sd","low","up"
"tau.(Intercept)",1.011,0.837,0.216,1.806
"nu.(Intercept)",3.573,0.637,2.968,4.178
"tau.s(ID)",0.368,0.104,0.27,0.467
"nu.s(ID)",0.109,0.099,0.015,0.203
"sigma_obs",21.685,21.685,1.084,42.286
