"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.252,0.027,0.227,0.278
"nu.(Intercept)",3.603,0.295,3.323,3.884
"tau.s(ID)",0.254,0.114,0.146,0.362
"nu.s(ID)",0.122,0.058,0.066,0.177
"sigma_obs",0,0,0,0
