"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.979,0.006,0.974,0.984
"nu.(Intercept)",2.392,0.853,1.582,3.202
"tau.s(ID)",0.287,0.234,0.065,0.509
"nu.s(ID)",0.389,0.159,0.238,0.54
"sigma_obs",19.031,18.468,1.487,36.575
