"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.852,0.168,0.692,1.012
"nu.(Intercept)",3.347,0.594,2.783,3.912
"tau.s(ID)",0.279,0.133,0.153,0.405
"nu.s(ID)",0.188,0.069,0.122,0.253
"sigma_obs",39.733,0.011,39.723,39.744
