"coeff_names","mean","sd","low","up"
"tau.(Intercept)",1.214,1.058,0.209,2.219
"nu.(Intercept)",3.703,0.719,3.02,4.387
"tau.s(ID)",0.221,0.195,0.036,0.406
"nu.s(ID)",0.105,0.096,0.013,0.196
"sigma_obs",24.176,24.176,1.209,47.143
