"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.204,0.051,0.155,0.252
"nu.(Intercept)",3.479,0.501,3.003,3.955
"tau.s(ID)",0.259,0.138,0.128,0.39
"nu.s(ID)",0.131,0.073,0.061,0.2
"sigma_obs",0,0,0,0.001
