"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.371,0.371,0.019,0.723
"nu.(Intercept)",20565205590.608,20565205587.422,1028260282.557,40102150898.659
"tau.s(ID)",0.096,0.069,0.03,0.162
"nu.s(ID)",0.125,0.101,0.03,0.221
"sigma_obs",19.753,19.753,0.988,38.518
