"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.219,0.026,0.194,0.244
"nu.(Intercept)",3.668,0.298,3.385,3.951
"tau.s(ID)",0.185,0.172,0.022,0.349
"nu.s(ID)",0.104,0.079,0.029,0.18
"sigma_obs",0,0,0,0
