"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.64,0,0.64,0.64
"nu.(Intercept)",3.159,0,3.159,3.159
"tau.s(ID)",0.012,0,0.012,0.012
"nu.s(ID)",0.249,0,0.249,0.249
"sigma_obs",39.4,0,39.4,39.4
