"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.965,0.103,0.79,1.197
"nu.(Intercept)",3.947,0.195,3.59,4.308
"tau.s(ID)",0.925,0.073,0.805,1
"nu.s(ID)",0.937,0.026,0.889,0.995
"sigma_obs",1000,0,1000,1000
