"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.966,0.098,0.79,1.203
"nu.(Intercept)",3.956,0.197,3.604,4.327
"tau.s(ID)",0.915,0.074,0.802,1
"nu.s(ID)",0.939,0.027,0.89,0.997
"sigma_obs",1000,0,1000,1000
