"coeff_names","mean","sd","low","up"
"tau.(Intercept)",1.281,0.16,0.994,1.644
"nu.(Intercept)",3.962,0.209,3.556,4.356
"tau.s(ID)",0.921,0.073,0.804,0.999
"nu.s(ID)",0.947,0.023,0.904,0.997
"sigma_obs",1000,0,1000,1000
