"coeff_names","mean","sd","low","up"
"tau.(Intercept)",1.119,0.185,0.779,1.591
"nu.(Intercept)",3.956,0.278,3.42,4.39
"tau.s(ID)",0.904,0.083,0.762,0.997
"nu.s(ID)",0.958,0.029,0.903,0.998
"sigma_obs",1000,0,1000,1000
