"coeff_names","mean","sd","low","up"
"tau.(Intercept)",0.874,0,0.874,0.874
"nu.(Intercept)",3.081,0,3.081,3.081
"tau.s(ID)",0.988,0,0.988,0.988
"nu.s(ID)",0.885,0,0.885,0.885
"sigma_obs",1000,0,1000,1000
